Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Auto,BAJAJ-AUTO,CNN,114868.5763,338.9227,246.9589,0.0459,49.0057,3.0969
Auto,BAJAJ-AUTO,LSTM,63172.111,251.3406,168.2742,0.034,49.5739,2.219
Auto,BAJAJ-AUTO,HYBRID,52840.085,229.8697,152.3863,0.0311,49.4318,1.9752
Auto,EICHERMOT,CNN,26183.7923,161.8141,123.1875,0.0359,50.2841,2.4995
Auto,EICHERMOT,LSTM,11681.3594,108.0803,83.1063,0.024,48.8636,1.8914
Auto,EICHERMOT,HYBRID,11985.23,109.4771,81.0661,0.0243,50.142,1.7868
Auto,M&M,CNN,13737.7104,117.208,89.0934,0.05,48.2955,3.3726
Auto,M&M,LSTM,6578.668,81.109,59.7656,0.0346,47.7273,2.5113
Auto,M&M,HYBRID,6208.4576,78.7938,56.6874,0.0336,47.1591,2.291
Auto,MARUTI,CNN,89743.4241,299.5721,221.6198,0.0262,49.5739,1.8189
Auto,MARUTI,LSTM,60336.9924,245.6359,181.204,0.0215,48.8636,1.5784
Auto,MARUTI,HYBRID,48181.8082,219.5035,159.5274,0.0192,47.8693,1.3849
Auto,TATAMOTORS,CNN,1155.6968,33.9955,24.2489,0.0476,49.1477,3.5565
Auto,TATAMOTORS,LSTM,863.0269,29.3773,19.5617,0.0411,51.5625,2.8612
Auto,TATAMOTORS,HYBRID,738.0205,27.1665,17.6118,0.038,48.7216,2.5856
Bank,AXISBANK,CNN,484.8299,22.0189,16.9161,0.0205,49.2898,1.5431
Bank,AXISBANK,LSTM,467.5763,21.6235,15.7561,0.0201,48.2955,1.4754
Bank,AXISBANK,HYBRID,405.4873,20.1367,14.4566,0.0187,48.7216,1.3388
Bank,HDFCBANK,CNN,249.4456,15.7938,12.4063,0.0189,48.7216,1.4495
Bank,HDFCBANK,LSTM,145.9029,12.079,9.082,0.0145,47.7273,1.0938
Bank,HDFCBANK,HYBRID,153.8868,12.4051,9.3876,0.0149,50.0,1.1287
Bank,ICICIBANK,CNN,931.6672,30.5232,23.7685,0.0267,52.5568,1.9494
Bank,ICICIBANK,LSTM,424.6571,20.6072,15.6313,0.018,48.2955,1.3678
Bank,ICICIBANK,HYBRID,378.195,19.4472,14.3905,0.017,48.4375,1.2487
Bank,KOTAKBANK,CNN,1069.4498,32.7024,23.4503,0.0175,48.2955,1.2398
Bank,KOTAKBANK,LSTM,1030.2754,32.0979,22.8672,0.0172,50.2841,1.2223
Bank,KOTAKBANK,HYBRID,933.3627,30.551,21.5905,0.0163,49.1477,1.1516
Bank,SBIN,CNN,437.0334,20.9053,16.3552,0.0294,49.0057,2.1909
Bank,SBIN,LSTM,244.3606,15.632,11.6351,0.022,50.5682,1.6561
Bank,SBIN,HYBRID,234.6225,15.3174,11.4362,0.0216,48.8636,1.6074
Chemicals,PIDILITIND,CNN,626.5688,25.0314,19.1823,0.0179,49.0057,1.353
Chemicals,PIDILITIND,LSTM,546.6921,23.3814,17.8935,0.0167,49.0057,1.2932
Chemicals,PIDILITIND,HYBRID,480.7072,21.925,16.8532,0.0157,50.5682,1.2098
Chemicals,PIIND,CNN,6197.7643,78.7259,58.8447,0.0214,49.2898,1.6051
Chemicals,PIIND,LSTM,7086.4176,84.1809,59.5829,0.0229,49.4318,1.6603
Chemicals,PIIND,HYBRID,6509.2527,80.6799,59.0198,0.0219,49.2898,1.6235
Chemicals,SOLARINDS,CNN,290145.5404,538.6516,410.989,0.0596,51.5625,4.0369
Chemicals,SOLARINDS,LSTM,151003.7739,388.592,267.682,0.043,50.4261,2.8647
Chemicals,SOLARINDS,HYBRID,133993.0807,366.0507,244.7908,0.0405,52.2727,2.5576
Chemicals,SRF,CNN,3366.0749,58.0179,42.7282,0.0229,49.5739,1.6311
Chemicals,SRF,LSTM,2703.3286,51.9935,38.305,0.0205,49.0057,1.5108
Chemicals,SRF,HYBRID,2615.7208,51.1441,38.0152,0.0201,49.4318,1.4821
Chemicals,UPL,CNN,225.9652,15.0321,11.8173,0.0247,50.5682,1.9926
Chemicals,UPL,LSTM,212.2808,14.5699,10.7501,0.024,49.858,1.8134
Chemicals,UPL,HYBRID,175.3332,13.2413,9.9866,0.0218,50.4261,1.68
FMCG,BRITANNIA,CNN,9890.6706,99.4519,75.7455,0.0197,53.5511,1.4594
FMCG,BRITANNIA,LSTM,7942.9345,89.1231,66.268,0.0176,52.1307,1.3109
FMCG,BRITANNIA,HYBRID,8015.0969,89.5271,65.7336,0.0177,52.2727,1.2897
FMCG,HINDUNILVR,CNN,1256.2481,35.4436,26.2736,0.0146,50.5682,1.084
FMCG,HINDUNILVR,LSTM,1259.1471,35.4845,25.5809,0.0147,50.2841,1.0502
FMCG,HINDUNILVR,HYBRID,1221.1203,34.9445,25.2239,0.0144,49.7159,1.0393
FMCG,ITC,CNN,52.9261,7.275,5.3738,0.0174,50.142,1.2805
FMCG,ITC,LSTM,60.099,7.7524,5.5845,0.0186,48.1534,1.3594
FMCG,ITC,HYBRID,46.1448,6.793,5.0239,0.0163,49.0057,1.2145
FMCG,NESTLEIND,CNN,416.6992,20.4132,16.0711,0.0176,48.8636,1.3796
FMCG,NESTLEIND,LSTM,397.997,19.9499,14.8488,0.0172,48.4375,1.2886
FMCG,NESTLEIND,HYBRID,370.1926,19.2404,14.3121,0.0166,45.7386,1.2407
FMCG,TATACONSUM,CNN,659.4257,25.6793,19.5974,0.0257,47.3011,1.8982
FMCG,TATACONSUM,LSTM,532.7262,23.0809,17.0845,0.0231,49.5739,1.7113
FMCG,TATACONSUM,HYBRID,443.1823,21.0519,15.4643,0.0211,48.1534,1.5335
Healthcare,APOLLOHOSP,CNN,27150.979,164.7755,131.5117,0.0267,47.4432,2.0508
Healthcare,APOLLOHOSP,LSTM,18799.2106,137.1102,103.0337,0.0222,46.3068,1.6957
Healthcare,APOLLOHOSP,HYBRID,16891.1092,129.9658,95.1115,0.0211,47.017,1.5435
Healthcare,CIPLA,CNN,1320.242,36.3351,28.8747,0.0271,49.0057,2.1083
Healthcare,CIPLA,LSTM,918.2203,30.3022,23.0446,0.0226,51.5625,1.7505
Healthcare,CIPLA,HYBRID,811.9187,28.4942,21.9484,0.0212,49.7159,1.6635
Healthcare,DIVISLAB,CNN,35673.0455,188.8731,143.4864,0.04,49.1477,2.8101
Healthcare,DIVISLAB,LSTM,17467.2891,132.1639,95.0035,0.028,50.2841,2.0507
Healthcare,DIVISLAB,HYBRID,18070.5299,134.4267,95.7177,0.0285,49.2898,2.0349
Healthcare,MAXHEALTH,CNN,1456.0252,38.1579,29.8373,0.0444,49.858,3.294
Healthcare,MAXHEALTH,LSTM,896.1079,29.9351,22.5335,0.0348,51.1364,2.6999
Healthcare,MAXHEALTH,HYBRID,848.9166,29.1362,21.3109,0.0339,48.0114,2.4817
Healthcare,SUNPHARMA,CNN,2103.1998,45.8607,36.2078,0.0314,48.0114,2.3128
Healthcare,SUNPHARMA,LSTM,1079.4017,32.8542,23.8129,0.0225,50.0,1.6141
Healthcare,SUNPHARMA,HYBRID,912.571,30.2088,22.0383,0.0207,49.4318,1.4748
IT,HCLTECH,CNN,1628.846,40.359,30.8226,0.0287,51.5625,2.0878
IT,HCLTECH,LSTM,1202.4936,34.677,25.4552,0.0247,51.4205,1.825
IT,HCLTECH,HYBRID,1093.5207,33.0684,24.203,0.0235,52.983,1.7101
IT,INFY,CNN,1326.9109,36.4268,26.8178,0.0242,50.0,1.7332
IT,INFY,LSTM,1197.8566,34.6101,25.0989,0.023,51.9886,1.6997
IT,INFY,HYBRID,1110.6627,33.3266,24.238,0.0222,49.858,1.6168
IT,TCS,CNN,4989.575,70.6369,54.198,0.0201,50.5682,1.5315
IT,TCS,LSTM,4038.5616,63.5497,46.7964,0.0181,48.7216,1.3274
IT,TCS,HYBRID,3995.4074,63.2092,47.5142,0.018,49.4318,1.3416
IT,TECHM,CNN,1405.6102,37.4915,29.2519,0.0283,47.1591,2.1377
IT,TECHM,LSTM,987.7936,31.4292,23.698,0.0237,48.4375,1.8253
IT,TECHM,HYBRID,860.0847,29.3272,21.8768,0.0222,47.8693,1.6591
IT,WIPRO,CNN,31.6842,5.6289,4.1305,0.0242,45.8807,1.6998
IT,WIPRO,LSTM,25.2297,5.0229,3.7421,0.0216,47.1591,1.5858
IT,WIPRO,HYBRID,24.7796,4.9779,3.5448,0.0214,47.5852,1.4928
Media,NAZARA,CNN,82.739,9.0961,6.9557,0.0411,51.2784,3.0189
Media,NAZARA,LSTM,66.2892,8.1418,5.8298,0.0368,50.0,2.6758
Media,NAZARA,HYBRID,62.655,7.9155,5.4225,0.0358,50.5682,2.4377
Media,PVRINOX,CNN,1806.7369,42.5057,33.908,0.0311,53.5088,2.7502
Media,PVRINOX,LSTM,1271.1683,35.6534,27.0502,0.0261,52.0468,2.0338
Media,PVRINOX,HYBRID,1153.0907,33.9572,26.6889,0.0249,51.9006,2.0322
Media,SAREGAMA,CNN,259.1787,16.099,11.1397,0.0373,49.858,2.5182
Media,SAREGAMA,LSTM,249.8669,15.8072,10.8546,0.0366,49.0057,2.5027
Media,SAREGAMA,HYBRID,255.5455,15.9858,10.6596,0.037,48.0114,2.4303
Media,SUNTV,CNN,356.5807,18.8833,14.3655,0.0316,48.4375,2.3159
Media,SUNTV,LSTM,290.6489,17.0484,12.6114,0.0286,49.4318,2.1047
Media,SUNTV,HYBRID,255.9237,15.9976,11.7928,0.0268,48.8636,1.9488
Media,ZEEL,CNN,93.7207,9.6809,7.7259,0.0603,49.4318,5.5491
Media,ZEEL,LSTM,73.7871,8.5899,5.6289,0.0535,50.142,3.4984
Media,ZEEL,HYBRID,60.9126,7.8047,5.2369,0.0486,50.2841,3.3111
Metal,ADANIENT,CNN,17736.6252,133.1789,76.9575,0.0517,52.2727,3.1914
Metal,ADANIENT,LSTM,17784.7857,133.3596,79.2119,0.0518,53.4091,3.3503
Metal,ADANIENT,HYBRID,17700.3638,133.0427,72.7782,0.0516,52.8409,3.1029
Metal,HINDALCO,CNN,362.012,19.0266,14.9277,0.0324,49.7159,2.4332
Metal,HINDALCO,LSTM,254.4286,15.9508,11.6212,0.0271,49.4318,2.0241
Metal,HINDALCO,HYBRID,263.7686,16.241,11.9076,0.0276,49.4318,2.0205
Metal,JSWSTEEL,CNN,503.9536,22.4489,17.9207,0.0251,45.7386,1.9343
Metal,JSWSTEEL,LSTM,324.0707,18.002,13.8011,0.0201,47.017,1.5556
Metal,JSWSTEEL,HYBRID,326.6243,18.0727,13.8038,0.0202,46.4489,1.538
Metal,TATASTEEL,CNN,15.8833,3.9854,3.0211,0.0288,49.4318,2.1186
Metal,TATASTEEL,LSTM,12.3138,3.5091,2.5347,0.0254,49.5739,1.852
Metal,TATASTEEL,HYBRID,11.6221,3.4091,2.4918,0.0247,49.4318,1.8003
Metal,VEDL,CNN,256.7238,16.0226,12.0209,0.0477,49.2898,3.2257
Metal,VEDL,LSTM,141.0273,11.8755,8.271,0.0353,48.4375,2.4439
Metal,VEDL,HYBRID,132.8078,11.5242,7.9261,0.0343,47.7273,2.2586
OilGas,BPCL,CNN,111.9433,10.5803,7.9645,0.0423,52.2727,2.9208
OilGas,BPCL,LSTM,78.2492,8.8459,6.0727,0.0354,52.1307,2.3856
OilGas,BPCL,HYBRID,62.0035,7.8742,5.5025,0.0315,50.142,2.1357
OilGas,GAIL,CNN,43.1454,6.5685,4.6534,0.041,48.0114,2.6907
OilGas,GAIL,LSTM,31.1817,5.5841,4.0976,0.0348,48.8636,2.5035
OilGas,GAIL,HYBRID,26.2847,5.1269,3.7231,0.032,48.4375,2.2435
OilGas,IOC,CNN,26.3895,5.1371,3.5986,0.0408,51.5625,2.6019
OilGas,IOC,LSTM,18.975,4.356,2.9562,0.0346,49.2898,2.2708
OilGas,IOC,HYBRID,16.1453,4.0181,2.6808,0.0319,52.1307,2.0354
OilGas,ONGC,CNN,59.347,7.7037,5.3603,0.0358,48.5795,2.3338
OilGas,ONGC,LSTM,49.0529,7.0038,4.7665,0.0326,49.2898,2.1606
OilGas,ONGC,HYBRID,39.8432,6.3121,4.2792,0.0293,50.0,1.9024
OilGas,RELIANCE,CNN,695.3755,26.37,20.5237,0.0201,49.858,1.5352
OilGas,RELIANCE,LSTM,675.0404,25.9815,19.391,0.0198,50.8523,1.4991
OilGas,RELIANCE,HYBRID,561.9599,23.7057,17.714,0.018,51.1364,1.3587
Pharma,CIPLA,CNN,1320.242,36.3351,28.8747,0.0271,49.0057,2.1083
Pharma,CIPLA,LSTM,918.2203,30.3022,23.0446,0.0226,51.5625,1.7505
Pharma,CIPLA,HYBRID,811.9187,28.4942,21.9484,0.0212,49.7159,1.6635
Pharma,DIVISLAB,CNN,35673.0455,188.8731,143.4864,0.04,49.1477,2.8101
Pharma,DIVISLAB,LSTM,17467.2891,132.1639,95.0035,0.028,50.2841,2.0507
Pharma,DIVISLAB,HYBRID,18070.5299,134.4267,95.7177,0.0285,49.2898,2.0349
Pharma,DRREDDY,CNN,617.413,24.8478,19.926,0.0213,51.1364,1.6831
Pharma,DRREDDY,LSTM,495.4654,22.2591,17.0793,0.0191,51.2784,1.4854
Pharma,DRREDDY,HYBRID,446.7772,21.1371,16.2342,0.0181,53.9773,1.4001
Pharma,LUPIN,CNN,6028.4038,77.6428,61.3993,0.0489,50.5682,3.6686
Pharma,LUPIN,LSTM,2578.9441,50.7833,37.8731,0.032,50.142,2.3967
Pharma,LUPIN,HYBRID,2171.7022,46.6015,34.1447,0.0293,51.1364,2.1165
Pharma,SUNPHARMA,CNN,2103.1998,45.8607,36.2078,0.0314,48.0114,2.3128
Pharma,SUNPHARMA,LSTM,1079.4017,32.8542,23.8129,0.0225,50.0,1.6141
Pharma,SUNPHARMA,HYBRID,912.571,30.2088,22.0383,0.0207,49.4318,1.4748
